 #      X        DX        X+DX/2
  -33.010000     0.162792   -32.928604
  -32.847218     0.162771   -32.765833
  -32.684459     0.162747   -32.603086
  -32.521726     0.162719   -32.440367
  -32.359023     0.162687   -32.277680
  -32.196354     0.162651   -32.115028
  -32.033722     0.162612   -31.952416
  -31.871131     0.162568   -31.789847
  -31.708586     0.162521   -31.627326
  -31.546091     0.162469   -31.464856
  -31.383649     0.162413   -31.302443
  -31.221266     0.162353   -31.140090
  -31.058945     0.162288   -30.977801
  -30.896691     0.162220   -30.815581
  -30.734507     0.162146   -30.653434
  -30.572399     0.162069   -30.491365
  -30.410371     0.161987   -30.329378
  -30.248427     0.161900   -30.167477
  -30.086572     0.161810   -30.005667
  -29.924809     0.161714   -29.843952
  -29.763144     0.161615   -29.682337
  -29.601581     0.161511   -29.520825
  -29.440123     0.161404   -29.359421
  -29.278775     0.161292   -29.198129
  -29.117540     0.161176   -29.036952
  -28.956423     0.161057   -28.875895
  -28.795428     0.160933   -28.714961
  -28.634558     0.160807   -28.554155
  -28.473816     0.160677   -28.393478
  -28.313206     0.160543   -28.232934
  -28.152731     0.160407   -28.072527
  -27.992393     0.160268   -27.912259
  -27.832196     0.160126   -27.752132
  -27.672141     0.159983   -27.592149
  -27.512231     0.159837   -27.432313
  -27.352468     0.159689   -27.272623
  -27.192853     0.159540   -27.113083
  -27.033388     0.159390   -26.953693
  -26.874073     0.159239   -26.794454
  -26.714911     0.159087   -26.635367
  -26.555900     0.158935   -26.476432
  -26.397041     0.158783   -26.317649
  -26.238334     0.158631   -26.159018
  -26.079778     0.158480   -26.000538
  -25.921373     0.158330   -25.842208
  -25.763118     0.158181   -25.684027
  -25.605010     0.158034   -25.525993
  -25.447049     0.157889   -25.368105
  -25.289232     0.157745   -25.210360
  -25.131557     0.157605   -25.052755
  -24.974022     0.157467   -24.895288
  -24.816623     0.157332   -24.737957
  -24.659357     0.157201   -24.580756
  -24.502220     0.157073   -24.423684
  -24.345210     0.156949   -24.266736
  -24.188322     0.156829   -24.109907
  -24.031551     0.156713   -23.953195
  -23.874895     0.156602   -23.796594
  -23.718347     0.156495   -23.640099
  -23.561903     0.156393   -23.483706
  -23.405558     0.156297   -23.327410
  -23.249308     0.156205   -23.171205
  -23.093146     0.156119   -23.015086
  -22.937067     0.156039   -22.859048
  -22.781066     0.155964   -22.703085
  -22.625138     0.155894   -22.547191
  -22.469276     0.155831   -22.391361
  -22.313475     0.155773   -22.235588
  -22.157728     0.155721   -22.079868
  -22.002031     0.155675   -21.924193
  -21.846376     0.155635   -21.768558
  -21.690758     0.155601   -21.612958
  -21.535172     0.155573   -21.457385
  -21.379610     0.155551   -21.301834
  -21.224067     0.155535   -21.146299
  -21.068537     0.155526   -20.990774
  -20.913014     0.155522   -20.835253
  -20.757492     0.155524   -20.679730
  -20.601965     0.155532   -20.524199
  -20.446427     0.155545   -20.368654
  -20.290872     0.155565   -20.213090
  -20.135295     0.155590   -20.057500
  -19.979689     0.155622   -19.901878
  -19.824050     0.155658   -19.746220
  -19.668371     0.155701   -19.590520
  -19.512646     0.155749   -19.434772
  -19.356871     0.155802   -19.278970
  -19.201040     0.155861   -19.123110
  -19.045148     0.155925   -18.967185
  -18.889189     0.155994   -18.811192
  -18.733158     0.156069   -18.655124
  -18.577050     0.156148   -18.498976
  -18.420860     0.156233   -18.342744
  -18.264583     0.156322   -18.186422
  -18.108215     0.156416   -18.030006
  -17.951749     0.156515   -17.873492
  -17.795183     0.156619   -17.716873
  -17.638510     0.156727   -17.560146
  -17.481727     0.156840   -17.403307
  -17.324828     0.156957   -17.246350
  -17.167810     0.157079   -17.089271
  -17.010669     0.157205   -16.932066
  -16.853399     0.157335   -16.774731
  -16.695997     0.157470   -16.617262
  -16.538458     0.157608   -16.459654
  -16.380779     0.157751   -16.301903
  -16.222955     0.157897   -16.144006
  -16.064983     0.158048   -15.985959
  -15.906858     0.158202   -15.827757
  -15.748577     0.158361   -15.669396
  -15.590136     0.158522   -15.510874
  -15.431531     0.158688   -15.352186
  -15.272758     0.158857   -15.193329
  -15.113814     0.159030   -15.034299
  -14.954696     0.159207   -14.875093
  -14.795399     0.159387   -14.715706
  -14.635921     0.159570   -14.556136
  -14.476257     0.159757   -14.396379
  -14.316405     0.159948   -14.236431
  -14.156361     0.160142   -14.076290
  -13.996121     0.160339   -13.915951
  -13.835682     0.160539   -13.755413
  -13.675042     0.160743   -13.594670
  -13.514196     0.160949   -13.433721
  -13.353142     0.161160   -13.272562
  -13.191876     0.161373   -13.111189
  -13.030395     0.161589   -12.949600
  -12.868696     0.161809   -12.787791
  -12.706776     0.162032   -12.625760
  -12.544632     0.162257   -12.463503
  -12.382260     0.162486   -12.301017
  -12.219658     0.162718   -12.138299
  -12.056822     0.162953   -11.975346
  -11.893751     0.163191   -11.812155
  -11.730439     0.163432   -11.648723
  -11.566885     0.163676   -11.485047
  -11.403086     0.163923   -11.321124
  -11.239038     0.164173   -11.156952
  -11.074739     0.164426   -10.992527
  -10.910186     0.164681   -10.827846
  -10.745376     0.164940   -10.662906
  -10.580306     0.165201   -10.497706
  -10.414974     0.165465   -10.332241
  -10.249375     0.165732   -10.166510
  -10.083509     0.166001   -10.000508
   -9.917372     0.166274    -9.834235
   -9.750961     0.166549    -9.667687
   -9.584274     0.166826    -9.500861
   -9.417308     0.167106    -9.333755
   -9.250061     0.167389    -9.166366
   -9.082530     0.167674    -8.998693
   -8.914713     0.167961    -8.830732
   -8.746607     0.168250    -8.662482
   -8.578211     0.168542    -8.493941
   -8.409523     0.168836    -8.325105
   -8.240540     0.169131    -8.155974
   -8.071260     0.169428    -7.986546
   -7.901682     0.169727    -7.816819
   -7.731805     0.170027    -7.646792
   -7.561627     0.170329    -7.476463
   -7.391147     0.170631    -7.305831
   -7.220364     0.170934    -7.134897
   -7.049278     0.171238    -6.963659
   -6.877888     0.171542    -6.792118
   -6.706195     0.171845    -6.620273
   -6.534199     0.172148    -6.448125
   -6.361901     0.172449    -6.275676
   -6.189301     0.172749    -6.102927
   -6.016404     0.173047    -5.929880
   -5.843209     0.173341    -5.756539
   -5.669722     0.173633    -5.582906
   -5.495945     0.173920    -5.408986
   -5.321884     0.174201    -5.234784
   -5.147545     0.174477    -5.060306
   -4.972933     0.174746    -4.885560
   -4.798056     0.175006    -4.710554
   -4.622925     0.175256    -4.535297
   -4.447548     0.175495    -4.359800
   -4.271938     0.175722    -4.184077
   -4.096109     0.175934    -4.008141
   -3.920075     0.176131    -3.832009
   -3.743854     0.176308    -3.655699
   -3.567465     0.176466    -3.479232
   -3.390929     0.176601    -3.302629
   -3.214272     0.176710    -3.125917
   -3.037519     0.176791    -2.949124
   -2.860701     0.176841    -2.772280
   -2.683849     0.176857    -2.595421
   -2.507000     0.176835    -2.418582
   -2.330193     0.176773    -2.241806
   -2.153469     0.176666    -2.065136
   -1.976876     0.176512    -1.888621
   -1.800463     0.176306    -1.712310
   -1.624283     0.176045    -1.536260
   -1.448392     0.175726    -1.360529
   -1.272851     0.175346    -1.185178
   -1.097722     0.174901    -1.010272
   -0.923072     0.174389    -0.835877
   -0.748967     0.173808    -0.662063
   -0.575479     0.173157    -0.488901
   -0.402678     0.172434    -0.316461
   -0.230636     0.171639    -0.144816
   -0.059423     0.170774     0.025964
    0.110890     0.169841     0.195811
    0.280237     0.168841     0.364657
    0.448552     0.167779     0.532441
    0.615775     0.166659     0.699105
    0.781853     0.165487     0.864596
    0.946735     0.164270     1.028869
    1.110379     0.163013     1.191886
    1.272751     0.161726     1.353614
    1.433823     0.160416     1.514031
    1.593577     0.159091     1.673123
    1.752003     0.157760     1.830883
